date,Closed PnL,Size USD,Num_Trades,classification,value
07-01-2025,25.27194275,1313178.1,637,Extreme Greed,78
08-01-2025,125.2330034,3177275.18,1039,Greed,70
09-01-2025,89.99220096,1020733.25,522,Greed,69
10-01-2025,-12.3527174,6547449.68,819,Neutral,50
11-01-2025,8.017952424,1658098.71,283,Greed,69
12-01-2025,9.538607646,2258459.17,602,Greed,62
13-01-2025,23.66526802,2936648.01,408,Greed,61
14-01-2025,58.43459038,876581.97,275,Greed,63
15-01-2025,55.50407603,1801599.89,267,Greed,70
16-01-2025,56.08546989,3049692.96,371,Extreme Greed,75
17-01-2025,29.43872104,1110230.46,238,Extreme Greed,75
18-01-2025,0.680849588,2711629.88,651,Extreme Greed,77
19-01-2025,56.1096358,9715215.3,1567,Extreme Greed,77
20-01-2025,66.37052409,8287327.01,1315,Extreme Greed,76
21-01-2025,20.90158381,1523729.82,530,Extreme Greed,76
22-01-2025,24.66875968,1778406.43,832,Extreme Greed,84
23-01-2025,83.13320374,3697028.66,1218,Extreme Greed,75
24-01-2025,12.13132693,1611433.45,874,Extreme Greed,75
25-01-2025,-20.45062501,1239377.7,506,Extreme Greed,75
26-01-2025,90.51766445,1201173.66,451,Greed,73
27-01-2025,53.46929546,1508028.31,773,Greed,71
28-01-2025,36.10364252,579412.17,498,Greed,72
29-01-2025,25.73737524,1897513.41,910,Greed,72
30-01-2025,21.6471147,3014397.17,1067,Greed,70
31-01-2025,35.30344171,2783411.48,1016,Extreme Greed,76
01-02-2025,50.94669561,1363746.44,634,Greed,68
02-02-2025,123.4683545,5661092.29,1319,Greed,60
03-02-2025,146.5845909,22592901.37,2380,Fear,44
04-02-2025,165.9541752,15678409.27,2512,Greed,72
05-02-2025,43.72107599,8743231.51,1297,Neutral,54
06-02-2025,19.84955944,2818508.87,1703,Neutral,49
07-02-2025,14.7309725,3460263.54,1524,Fear,44
08-02-2025,1.020353483,839734.97,575,Fear,44
09-02-2025,197.0573684,2920919.7,764,Neutral,46
10-02-2025,71.88807047,3624958.44,889,Fear,43
11-02-2025,-7.186067001,2797544.17,848,Neutral,47
12-02-2025,19.25182835,4143974.54,1031,Neutral,46
13-02-2025,20.31352864,3199852.21,1370,Neutral,50
14-02-2025,129.2209518,4007103.42,1655,Neutral,48
15-02-2025,48.32932083,1712852.95,932,Neutral,50
16-02-2025,3.479410316,806177.64,681,Neutral,54
17-02-2025,1.932596488,2031044.64,941,Neutral,51
18-02-2025,54.41806229,3371128.68,1676,Neutral,47
19-02-2025,11.01087046,3263930.24,1361,Fear,44
20-02-2025,22.86719389,4628609.29,2012,Neutral,49
21-02-2025,63.90469511,3972159.88,1873,Greed,55
22-02-2025,36.849423,3175570.2,686,Neutral,49
23-02-2025,20.49410433,1141310.74,520,Neutral,50
24-02-2025,6.850102607,11223619.59,5616,Neutral,49
25-02-2025,32.7829294,19414984.36,6246,Fear,25
26-02-2025,53.76621014,4946958.13,1176,Extreme Fear,21
27-02-2025,-41.03951406,1999898.43,890,Extreme Fear,10
28-02-2025,221.4211077,4123660.77,1019,Extreme Fear,16
01-03-2025,60.89717798,263824.13,174,Extreme Fear,20
02-03-2025,125.7787983,6460848.74,532,Fear,26
03-03-2025,415.9332201,8244590.38,1482,Fear,33
04-03-2025,75.80165137,11124247.15,2402,Extreme Fear,15
05-03-2025,162.2460036,9193654.22,1660,Extreme Fear,20
06-03-2025,21.18569153,6765324.96,760,Fear,25
07-03-2025,58.8699301,19854275.48,2552,Fear,34
08-03-2025,46.69333338,892083.51,529,Fear,28
09-03-2025,13.90538495,10419697.99,1422,Fear,27
10-03-2025,-3.438690234,16811790.68,2911,Extreme Fear,20
11-03-2025,-23.39644828,14016952.09,3286,Extreme Fear,24
12-03-2025,72.60735489,18618139.15,3968,Fear,34
13-03-2025,14.67242294,3285591.22,962,Neutral,45
14-03-2025,31.0616109,8047187.16,2210,Fear,27
15-03-2025,301.5119715,2355749.54,261,Neutral,46
16-03-2025,-14.92630858,10187921.51,530,Fear,30
17-03-2025,28.43902882,3592895.05,920,Fear,32
18-03-2025,86.71797221,4050655.47,834,Fear,34
19-03-2025,18.22250766,4598813.57,1612,Fear,32
20-03-2025,13.29034946,1652257.93,771,Neutral,49
21-03-2025,9.958840077,2543903.39,698,Fear,31
22-03-2025,23.36174814,971809.42,535,Fear,32
23-03-2025,31.42599907,2593519.67,447,Fear,30
24-03-2025,105.0428056,3017587.05,1027,Neutral,45
25-03-2025,40.49419315,5372519.77,791,Neutral,46
26-03-2025,5.094186791,7597754.37,3102,Neutral,47
27-03-2025,74.93676334,3240279.46,785,Fear,40
28-03-2025,29.30931227,1483092.61,728,Fear,44
29-03-2025,6.388000492,3668151.83,1894,Fear,26
30-03-2025,27.8083013,2850874.96,568,Fear,32
31-03-2025,14.09734254,2164772.47,495,Fear,34
01-04-2025,-11.47219918,704445.19,192,Fear,34
02-04-2025,187.9300566,3867930.6,1076,Fear,44
03-04-2025,-1.353524757,8670233.15,1748,Fear,25
04-04-2025,-20.05949603,3835545.73,1272,Fear,28
05-04-2025,99.74260475,1267564.22,360,Fear,30
06-04-2025,44.89832946,3551252.06,1048,Fear,34
07-04-2025,12.26985441,14460253.14,2814,Extreme Fear,23
08-04-2025,37.00890222,8869391.4,943,Extreme Fear,24
09-04-2025,10.86978694,28556806.47,3967,Extreme Fear,18
10-04-2025,74.40612236,28741953.29,2127,Fear,39
11-04-2025,115.3343787,11319327.07,1096,Fear,25
12-04-2025,194.6039329,55914617.49,2109,Fear,43
13-04-2025,36.86299888,14171154.79,1321,Neutral,45
14-04-2025,51.32634052,13079972.98,890,Fear,31
15-04-2025,63.9767518,20752168.24,1131,Fear,38
16-04-2025,36.46251882,36502715.9,1608,Fear,29
17-04-2025,5.264713759,2604551.51,1031,Fear,30
18-04-2025,2.576771248,24610650.46,1894,Fear,33
19-04-2025,25.82576364,32706462.71,2786,Fear,32
20-04-2025,12.64396667,12126094.05,1982,Fear,37
21-04-2025,20.00539459,42104054.84,1718,Fear,39
22-04-2025,19.56396384,33753625.24,2998,Neutral,47
23-04-2025,-68.03380837,30682443.79,6159,Greed,72
24-04-2025,22.71702328,35088918.64,2232,Greed,63
25-04-2025,12.23161476,27749455.78,1653,Greed,60
26-04-2025,-3.647881469,11948127.77,1131,Greed,65
27-04-2025,8.018004356,487537.69,337,Greed,61
28-04-2025,26.76346175,26124921.49,1379,Neutral,54
29-04-2025,56.06313572,34089511.66,2243,Greed,60
30-04-2025,12.58202809,12693878.85,1113,Greed,56
01-05-2025,44.33888561,10720240.52,1230,Neutral,53
